roi,bc,tvi,d_eff,mean_thickness
L_precentral,0.0140208050655811,-1.7716532888954704,4.750332236289978,2.4263583333333334
L_paracentral,0.0013568521031207,0.2711983797375984,5.051062107086182,2.2922166666666666
L_rostralanteriorcingulate,0.0,-2.6704944072863315,4.892359256744385,2.7030000000000003
L_caudalanteriorcingulate,0.0,-1.0633017001800045,4.637469053268433,2.3836250000000003
L_posteriorcingulate,0.0,-2.2658154048924124,4.923905372619629,2.384
L_isthmuscingulate,0.0027137042062415,1.0793312934454309,2.444687843322754,2.3078583333333333
L_postcentral,0.005427408412483,0.0176188760162671,4.620985150337219,2.0020583333333333
L_supramarginal,0.0049751243781094,-1.8124892750828607,4.580461025238037,2.46325
L_superiorparietal,0.0610583446404341,4.609924004895429,4.691553831100464,2.125233333333333
L_inferiorparietal,0.0135685210312075,0.0214201566209794,2.837972402572632,2.3731083333333336
L_precuneus,0.0384441429217548,1.2128784574006573,2.480291843414306,2.3610166666666665
L_cuneus,0.0004522840343735,-3.6307111083045047,4.824405670166016,1.791825
L_pericalcarine,0.0,-3.6319776932144943,4.957752466201782,1.5773249999999999
L_lateraloccipital,0.0153776571687019,-0.68023980277958,4.632098078727722,2.13835
L_lingual,0.0081411126187245,1.1418932735935134,2.5908920764923096,1.9866583333333334
L_fusiform,0.0099502487562189,0.9684782482189896,1.9576765298843384,2.8215500000000002
L_parahippocampal,0.0009045680687471,0.5220947877205844,1.9547898769378664,2.7786916666666666
L_entorhinal,0.0,-2.367591182719373,0.0,3.417933333333333
L_temporalpole,0.0009045680687471,-0.3587917045343476,4.187379479408264,3.68325
L_inferiortemporal,0.0081411126187245,2.1906058437235933,2.7070248126983643,2.8429833333333336
L_middletemporal,0.0081411126187245,2.222195031508432,5.053749442100525,2.8195083333333333
L_bankssts,0.0,-1.5656104987266557,4.157438397407532,2.4547749999999997
L_superiortemporal,0.0122116689280868,2.5265679623163244,2.6095290184021,2.699008333333333
L_transversetemporal,0.0,-0.7300481603378073,2.6889395713806152,2.2322083333333333
L_insula,0.0479421076436001,2.110571585201341,1.9874221086502075,2.96685
